uc_id,urban_code,case_code,case_type,細部計畫ID,case_name,gov_code,gov_date,is_publish,is_map
136,05,57,4,0557,變更草屯都市計畫（部份農業區為機關用地）案,投府建都字第13166號,086年01月21日,T,
137,05,58,4,0558,變更草屯都市計畫（部分工業區、農業區為道路用地）案,投府建都字第52276號,086年04月15日,T,
138,05,59,3,0559,變更草屯都市計畫「撤銷（第一期公共設施通盤檢討）案人民陳情案件逾十案決議之附帶條件」案,投府建都字第42714號,087年03月24日,T,
139,05,60,4,0560,變更草屯都市計畫（部分道路用地為機關用地、學校用地及部分學校用地、運動場用地、人行步道用地、公（兒）用地為道路用地）案,投府建都字第88134798號,088年10月08日,T,
140,05,61,3,0561,變更草屯都市計畫（工業區分類專案通盤檢討）案,投府建都字第79808號,089年06月07日,T,NULL
141,05,62,4,0562,變更草屯都市計畫（部分農業區為學校用地）案,投府城都字第90009392號,090年02月05日,T,
142,05,63,4,0563,變更草屯都市計畫（部分農業區為行政專用區、住宅區、鄰里公園兼兒童遊樂場用地、停車場用地、溝渠用地及道路用地、部分機關用地為公園用地）案,投府城都字第09101137760號,091年07月10日,T,
143,05,64,2,0564,擬定草屯都市計畫（配合行政園區遷移計畫、新社區及虎山溝整治開發計畫地區）細部計畫案,投府城都字第09101323200號,091年07月30日,T,1
144,05,65,4,0565,變更草屯都市計畫（部分住宅區為鄰里公園兼兒童遊樂場用地及道路用地、部分鄰里公園兼兒童遊樂場用地為住宅區及道路用地、部分道路用地為住宅區、鄰里公園兼兒童遊樂場用地及溝渠用地、部分溝渠用地為道路用地）案,府建都字第0930125810-2號,093年07月02日,T,NULL
145,05,66,2,0566,變更草屯都市計畫（配合行政園區遷移計畫、新社區及虎山溝整治開發計畫地區）細部計畫案,府建都字第0930231464-2號,093年12月13日,T,1
