名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
東區-民營-張詠臻停車場,公共建設,停車場地,,,218401.6355,2670062.336,Open data
太平區-民營-祥禎停車場,公共建設,停車場地,,,221484.5741,2671741.452,Open data
北屯區-民營-好鄰居停車場,公共建設,停車場地,,,220779.0936,2674606.902,Open data
南區-民營-大曜烏日停車場,公共建設,停車場地,,,213892.0099,2667250.011,Open data
大甲區-民營-Car in光明站停車場,公共建設,停車場地,,,211522.8265,2693239.939,Open data
西區-民營-Times台中美村路第2停車場,公共建設,停車場地,,,215682.7518,2672125.277,Open data
豐原區-民營-全聯豐原大豐停車場,公共建設,停車場地,,,219454.7998,2682444.265,Open data
梧棲區-民營-文華街C停車場,公共建設,停車場地,,,203714.9089,2682489.159,Open data
南屯區-民營-Times台中五權西路二段停車場,公共建設,停車場地,,,214195.2161,2670592.821,Open data
南屯區-民營-大墩食衣停車場,公共建設,停車場地,,,214400.9819,2671592.389,Open data
北區-民營-Times台中武昌路停車場,公共建設,停車場地,,,216580.8365,2673747.861,Open data
西屯區-民營-台灣聯通台中工一停車場,公共建設,停車場地,,,210678.9739,2674366.556,Open data
西區-民營-國泰世華地下停車場,公共建設,停車場地,,,215915.4383,2671689.465,Open data
西區-民營-國泰忠明地下停車場,公共建設,停車場地,,,215190.0462,2670113.016,Open data
梧棲區-民營-文華街B停車場,公共建設,停車場地,,,203724.872,2682430.427,Open data
北屯區-民營-大地水湳停車場,公共建設,停車場地,,,216664.633,2674817.524,Open data
南屯區-民營-Times台中大墩十一街停車場2,公共建設,停車場地,,,214350.0417,2671541.571,Open data
西區-民營-OSCAR 停車場ark 1停車場,公共建設,停車場地,,,215693.2291,2672255.938,Open data
西區-民營-Times台中民族路停車場,公共建設,停車場地,,,216636.0212,2671282.409,Open data
北區-民營-鉅海太原路停車場,公共建設,停車場地,,,216966.1015,2673380.374,Open data
北區-民營-台中中清營業所停車場,公共建設,停車場地,,,216693.0948,2673955.81,Open data
西屯區-民營-Times台中清隆巷停車場,公共建設,停車場地,,,213413.9105,2675037.056,Open data
