編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
99,D08BA0002,臺南市中西區郡王祠段1852地號,161000,88.85,長方形4.4:20.0,住四住宅區,60,180,臺南市中西區健康路一段204號,透天林媽媽租屋,0.95
100,D08BA0003,臺南市中西區成光段1010地號,144000,85,長方形4.3:19.8,住四住宅區,60,180,臺南市中西區民權路四段206號,透天住家用,1.28
101,D08BA0006,臺南市中西區新臨安段934地號,109000,90.31,長方形4.8:18.8,住五住宅區,60,210,臺南市中西區大新街55號,透天住家用,1.69
102,D08BA0011,臺南市中西區南門段1264地號,156000,99.04,長方形5.7:17.3,「住五」住宅區,60,210,臺南市中西區忠義路一段47號,透天住家用,1.98
103,D08BA0012,臺南市中西區武聖段1367地號,112000,88.85,長方形4.6:19.3,「住四」住宅區,60,180,臺南市中西區武聖路69巷45號,透天夾物店鋪,1.37
104,D08BA0013,臺南市中西區頂美段1512-42地號,175000,116.02,長方形4.5:25.7,「住四」住宅區,60,180,臺南市中西區中華西路二段777號,透天住家用,1.58
105,D08BA0015,臺南市中西區頂美段984-9地號,148000,122.62,長方形5.1:24.0,「住四」住宅區,60,180,臺南市中西區和緯路五段217號,透天住家用,0.83
106,D08BA0018,臺南市中西區環河段2586地號,190000,493,長方形9.7:50.8,住五住宅區,60,210,臺南市中西區永華路一段348號,透天元大銀行,1.13
107,D08BB0004,臺南市中西區中正段500地號、中正段501地號,337000,104.76,長方形4.8:21.3,商四(1)商業區,80,320,臺南市中西區中正路224號,透天ETUDE HOUSE,0.27
108,D08BB0007,臺南市中西區中山段401地號,197000,74.36,長方形4.3:17.4,「商四(1)」商業區,80,320,臺南市中西區民權路一段252號,透天雅維麗飾品店,0
