編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
116,D16BB0002,臺南市下營區營中段699地號,69300,91.14,長方形5.7:16.4,商業區,80,320,臺南市下營區中山路一段11號,透天羊肉羹小吃店,0.44
117,D17BA0002,臺南市六甲區光明段822地號,34800,77.41,長方形4.3:18.2,住宅區,60,180,臺南市六甲區中山路229號,透天住家用,0.88
118,D17BB0001,臺南市六甲區民生段888地號,51100,69.24,長方形4.1:16.9,商業區,80,240,臺南市六甲區中正路426號,透天早安美芝城,0.6
119,D18BA0002,臺南市官田區隆田段916地號,27700,80.69,長方形4.5:18.0,住宅區,60,180,臺南市官田區隆田里13鄰勝利路81號,透天住家用,1.78
120,D18BB0001,臺南市官田區隆田段605地號、隆田段606地號,28300,123.93,長方形4.6:28.0,商業區,80,260,臺南市官田區隆田里文化街38號,透天胡瓊月地政士事務所,1.63
121,D19BA0002,臺南市大內區石城段477地號、石城段478地號,16900,72.8,長方形5.6:14.0,住宅區,60,200,臺南市大內區石仔瀨122之35號,透天住家用,0.54
122,D19BB0001,臺南市大內區公所段646地號,23300,113.79,長方形4.3:27.4,商業區,80,320,臺南市大內區內庄22之4號,透天東昇五金行,1.72
123,D20BA0004,臺南市佳里區佳里段937-7地號、佳里段940-12地號,66200,81,長方形4.6:17.6,「住二」住宅區,60,240,臺南市佳里區忠仁里延平路249號,透天明生電器行,2.34
124,D20BB0003,臺南市佳里區佳里段1634-59地號,100000,69,長方形4.6:15.0,商業區,80,320,臺南市佳里區東寧里光復路264號,透天上雅禮品行,0.61
125,D21BA0002,臺南市西港區港南段170地號,29600,88.72,長方形4.4:20.0,住宅區,60,200,臺南市西港區慶安里慶安路95之7號,透天住家用,2.62
